"title","url","stars","name","reviewUrl","text"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","1",,,"Saya mendapat pengalaman kurang menyenangkan hari ini.

Saya sudah reservasi melalui aplikasi alodokter ke klinik bedah untuk hari ini. Tertera di aplikasi bahwa jadwal dokter dimulai jam 11.00.

Saya sudah datang sebelum jam 11. Jam 11.30 karena merasa belum dipanggil, saya konfirmasi ke konter perawat. Diarahkan untuk konfirmasi ke dalam klinik terkait jadwal ybs.

Hasilnya, perawat yang sedang ada dj dalam ruangan bilang kalau dokternya sedang operasi dan saya diarahkan untuk datang lagi besok saja dan katanya hari ini ditunggu sampai jam 10.

Saya datang sesuai dengan jadwal yang tertera di aplikasi alodokter. Saya tidak mungkin tahu kalau dibilang sudah ditunggu. Kalau memang ada jadwal operasi, apakah tidak ada konfirmasi ke lini bawah termasuk ke bagian pendaftaran untuk konfirmasi ke pasien yang baru datang?

Tidak semua pasien itu memiliki waktu senggang yang banyak. Ada yang harus meluangkan waktunya untuk periksa.

Semoga kedepannya bisa diperbaiki. Terima kasih."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Pelayanan bagus, tempat bersih, Dokternya juga baik."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Pelayanan baik mulai dari satpam, pendaftaran perawat dan dokter,suka di RS Panti Waluyo krn pelayanan ramah dan cepat,ini pengalaman 2 kali opname anak anak.terima kasih semua atas pelayanannya Tuhan memberkati"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"suka dg keramahan semua staff & perawat, dokter..fasilitas bagus pelayanan penuh kasih...terima kasih"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"pelayanan nya bagus, suster dan dokter nya juga ramah"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","2",,,"Pelayanannya tolong ya diperbaiki, mama saya habis rawat inap, terus disuruh kontrol. Katanya sudah didaftarkan dari sana, dan juga gak perlu antri harusnya, tinggal nunjukin bukti surat kontrolnya, tapi ternyata tetap harus antri. Kalau emang dari awal suruh antri tapi sesuai no antrian yang sudah di daftarkan, berarti sama saja antri, saya juga repot datangnya sekitar jam 8an, karena saya harus ngurusi mama saya dulu, nyebelin banget. Gak usah ngomong kalau gak perlu antri, jangan ribet deh, terus tadi waktu di poli, harusnya poli 6 tapi malah pindah poli 1, ribet tau gak, harus pindah pindah, mana nunggu lama banget. Yang awalnya saya respect sama pelayanannya, jadi gak respect"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Pelayanan bagus, SDM bagus, sigap cepat dan ramah. Terimakasih sudah merawat mertua saya dengan sangat baik."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Pelayan di Rs panti waluyo sangat ramah,mulai dari petugas keamana perwat dan dokter Hendratmo jg sangat baik..makanan jg sangat hygienis..terimakasih RS panti waluyo semoga semakin baik lg kedepanya."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Terimakasih dokter Budhi ( Dr. dr.Ida Bagus Budhi S.A, Sp.BKBD, M.Kes) kalau ga bertemu dokter budhi di RS lain mungkin saya ga akan di operasi sama beliau.. walaupun dokternya ga banyak senyum tapi dokternya Ramah dan ga sombong 🙃. Dokter senior yang banyak orang tahu dokternya bagus kecuali saya yang tidak tahu karena baru tinggal di jawa tengah.

Rumah sakit dan nurse nya juga ramah2 , orang2 pendaftaran yang ramah juga , dokter Anestesi Albert kalau ga salah namanya yang baik juga mau memberikan pilihan tentang bius yang digunakan mau pakai yang mana ? Tidak langsung memutuskan untuk pakai bius yang biasa orang-orang gunakan.
Terimakasih sudah berbaik hati tanya ke saya.
dan Terimakasih juga untuk mba2 yang rekam jantung dan ambil darah untuk cek HIV dll dan pasang infus yang ga terlalu sakit.. saya ga akan lupa tentang itu. Teeimakasih mba Christine dan Ibu debora di ruang setelah operasi ..maaf kalau saya banyak tanya saat itu 🙏

Makanannya juga enak2 walau manis bagi lidah saya yang bukan orang jawa 😁🙏
Kue sus, sari kacang hijau dan susu kedelai untuk snack nya enak
Dan berkesan adalah sebelum pulang masih dapat makan siang 😊 hehe

Ruangannya juga bersih saya kemarin di Kamar Anggrek I.1 BPJS kelas 1 ."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Rumah sakit terbaik.. gak ribet urusan pendaftaran.."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"👍"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Pelayanan memuaskan, seluruh tenaga medis dan non medis memberikan pelayanan terbaik.  Semoga RS Panti Waluyo semakin berkembang kedepannya dan memberikan manfaat bagi seluruh masyarakat. Terima kasih"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Pelayanan’nya ramah.. tempat selalu bersih.."
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Sangat memuaskan  kak pelayanannya, infusny jg g sakit, tp sayangnya saya dpt tetangga pasien reog nya minta ampun,"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"dekat,cepat,terjangkau"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,"Dari segi pelayanan sangat memuaskan , Terimakasih Dr Binky dan suster yg telah merawat suami sya selama opname di rumah sakit panti waluyo , rumah sakit panti waluyo ttp menjadi berkat di masyarakat sekitar God bless 😇🙏"
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
"RS Panti Waluyo Yakkum Surakarta","https://www.google.com/maps/search/?api=1&query=RS%20Panti%20Waluyo%20Yakkum%20Surakarta&query_place_id=ChIJgafzoDAUei4R60QHTBouiFA","5",,,
